"UMIDADE_SOLO","PH_SOLO","NIVEL_N","NIVEL_P","NIVEL_K","VOLUME_IRRIGACAO_LITROS","PRODUTIVIDADE_KG"
54,98,5,08,1,0,0,50,83,59,9
78,03,6,59,1,0,1,22,02,81,99
69,28,5,79,0,0,1,25,81,66,98
63,95,6,27,0,1,1,38,36,60,68
46,24,7,27,1,0,0,54,75,57,02
46,24,5,62,1,0,0,50,76,50,28
42,32,6,03,1,1,0,58,03,69,16
74,65,6,89,1,0,1,23,43,72,06
64,04,5,57,1,1,1,36,52,73,97
68,32,5,19,1,1,1,34,99,76,55
40,82,5,72,0,0,0,67,11,21,24
78,8,5,4,1,1,1,15,01,82,58
73,3,7,32,1,0,1,37,37,72,5
48,49,7,02,0,1,1,41,75,59,04
47,27,6,58,0,1,1,51,97,58,51
47,34,7,18,0,0,0,55,61,47,41
52,17,7,01,0,1,0,49,24,54,86
60,99,5,47,1,1,1,35,9,73,54
57,28,7,23,1,1,0,41,68,63,61
51,65,6,35,1,1,0,45,89,65,98
64,47,7,02,1,1,1,32,58,74,67
45,58,7,24,1,0,1,58,67,71,43
51,69,5,8,1,1,0,50,1,68,33
54,65,5,28,0,0,1,41,88,45,53
58,24,5,57,1,1,0,46,26,56,7
71,41,6,07,0,0,1,30,13,64,61
47,99,7,05,0,0,0,56,08,37,51
60,57,7,15,1,1,1,42,58,85,78
63,7,5,02,0,1,0,32,16,43,91
41,86,6,28,1,1,0,55,34,55,49
64,3,6,04,0,0,0,39,43,44,26
46,82,5,56,1,1,1,56,23,69,76
42,6,5,3,0,0,0,57,29,29,65
77,96,5,84,1,0,0,22,63,68,78
78,63,7,36,1,0,1,27,76,73,69
72,34,5,81,1,1,1,24,71,82,07
52,18,6,3,1,1,0,50,55,64,29
43,91,6,76,1,0,0,55,08,53,04
67,37,5,91,0,0,1,31,54,59,06
57,61,7,43,0,1,1,47,89,58,04
44,88,7,41,0,0,1,59,25,39,58
59,81,5,63,1,1,1,44,26,82,55
41,38,6,24,0,0,1,65,15,44,84
76,37,5,75,1,1,0,23,73,70,95
50,35,5,71,1,0,1,53,06,69,36
66,5,5,09,0,1,0,31,95,54,01
52,47,6,52,0,0,0,49,15,45,18
60,8,6,26,1,1,0,38,55,68,25
61,87,5,13,0,1,1,38,62,71,5
47,39,5,7,1,0,0,55,58,58,87
78,78,7,27,1,0,0,17,13,67,69
71,01,5,6,1,1,1,39,46,86,56
77,58,5,36,1,0,0,17,39,67,74
75,79,6,22,1,1,0,18,14,82,19
63,92,7,46,0,0,1,41,87,52,06
76,87,5,61,0,1,0,27,08,63,08
43,54,6,68,1,1,0,59,58,65,42
47,84,6,9,1,1,0,55,3,53,93
41,81,5,59,0,1,1,58,13,46,18
53,01,6,82,0,1,1,42,5,49,95
55,55,5,92,1,1,1,44,83,73,27
50,85,6,58,0,0,0,45,76,42,18
73,15,6,58,1,0,0,31,73,72,25
54,27,6,34,0,0,1,44,99,50,18
51,24,5,23,1,1,0,44,64,69,21
61,71,7,09,0,1,0,36,69,48,13
45,64,5,8,1,1,1,56,43,60,91
72,09,5,47,0,1,1,25,09,66,7
42,98,5,1,0,0,0,52,91,33,62
79,48,6,48,1,0,0,21,74,67,53
70,89,6,69,0,1,0,30,34,48,5
47,95,5,04,1,0,1,49,52,58,61
40,22,6,28,0,0,1,57,42,36,15
72,62,5,57,1,1,1,28,54,85,79
68,27,6,61,0,0,1,24,49,59,2
69,16,5,44,1,1,0,23,8,65,75
70,85,6,73,0,0,1,25,56,56,31
42,96,5,97,1,1,1,55,97,63,12
54,34,7,34,0,1,1,47,22,61,54
44,63,5,34,1,1,1,62,74,72,78
74,52,5,85,1,1,1,29,76,79,04
64,93,5,28,1,0,0,34,27,60,55
53,24,7,31,0,1,0,46,67,48,59
42,54,7,19,1,1,1,52,45,66,69
52,44,5,64,0,1,0,47,47,46,97
53,01,6,65,1,0,1,45,55,59,63
69,18,7,04,0,1,1,32,43,65,91
65,5,6,39,1,0,0,30,36,54,54
75,49,6,32,0,1,0,27,11,70,22
58,89,5,6,0,0,1,48,78,50,83
44,78,5,23,1,0,1,54,67,54,36
68,53,7,24,0,1,1,33,48,69,82
70,43,7,25,0,0,0,33,02,49,16
62,45,6,58,1,1,1,35,54,78,29
70,84,5,85,0,1,1,30,28,70,19
59,75,5,87,0,1,1,40,31,65,41
60,91,6,81,0,0,0,39,58,41,43
57,1,7,24,1,0,1,39,03,65,16
41,02,7,22,0,1,1,59,11,53,57
44,32,6,95,1,1,0,58,17,49,55
